pop_size,max_gen,mutation_rate,repeat,best_distance,exec_time
50,300,0.01,1,134599.06356831518,1.0176370999979554
50,300,0.01,2,134757.5629438417,1.0092288000014378
50,300,0.01,3,140623.57486311538,1.0325981000023603
50,300,0.05,1,135326.7817376586,1.0738579999997455
50,300,0.05,2,140018.5996542298,1.1204863999992085
50,300,0.05,3,137696.33576476743,1.1099131999981182
50,600,0.01,1,136600.85913084802,2.4649124999996275
50,600,0.01,2,137704.7702121486,2.110405199997331
50,600,0.01,3,139130.9932751633,2.0621909000001324
50,600,0.05,1,135254.89083883175,2.1429157000020496
50,600,0.05,2,135789.89083173155,2.17187240000203
50,600,0.05,3,134709.11393291858,2.101252000000386
100,300,0.01,1,131882.21550988944,2.0781273000029614
100,300,0.01,2,136650.70636300667,2.1208908000007796
100,300,0.01,3,133450.39875754836,2.1136398000016925
100,300,0.05,1,137641.06312465674,2.13849769999797
100,300,0.05,2,134608.80404580818,2.174610099998972
100,300,0.05,3,133757.0601198798,2.1519129000007524
100,600,0.01,1,134809.98856909672,4.28495429999748
100,600,0.01,2,134016.65204957058,4.22632159999921
100,600,0.01,3,133346.13785274405,4.115083299999242
100,600,0.05,1,138058.68471135956,4.3456877000026
100,600,0.05,2,131985.1290014001,4.185717299998942
100,600,0.05,3,137912.952572581,4.295123200001399
150,300,0.01,1,131602.7183536342,3.3001710000025923
150,300,0.01,2,136881.76034185308,3.275148000000627
150,300,0.01,3,134506.16111270318,3.1979785000003176
150,300,0.05,1,136545.82117303554,3.3189763000009407
150,300,0.05,2,133803.13304181266,3.659138200000598
150,300,0.05,3,136480.47713268638,4.913813699997263
150,600,0.01,1,132984.83405709933,9.06035559999873
150,600,0.01,2,136486.75935617826,7.05359849999877
150,600,0.01,3,133267.52427707237,6.29781020000155
150,600,0.05,1,128849.72405744722,6.768087300002662
150,600,0.05,2,135267.56146477896,6.396249100002024
150,600,0.05,3,137047.30303172156,6.346556599997712
